brand,market,fx_year,concatenate,cbht_report_source,brand_league,source_of_truth,notes,status,added_by,added_at
Battery,Estonia,2024,Battery_Estonia_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Estonia,2025,Battery_Estonia_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Finland,2024,Battery_Finland_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Finland,2025,Battery_Finland_2025,FY24 C-BHT,Lead,Carlsberg Insights Hub,In Energy Drinks Study,,,
Battery,Latvia,2024,Battery_Latvia_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Latvia,2025,Battery_Latvia_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Lithuania,2024,Battery_Lithuania_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Lithuania,2025,Battery_Lithuania_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Norway,2024,Battery_Norway_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Norway,2025,Battery_Norway_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Ukraine,2024,Battery_Ukraine_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Battery,Ukraine,2025,Battery_Ukraine_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bellman,Sweden,2025,Bellman_Sweden_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bilz ,Switzerland,2025,Bilz _Switzerland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Bilz Stellare,Switzerland,2024,Bilz Stellare_Switzerland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Bilz Stellare,Switzerland,2025,Bilz Stellare_Switzerland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Birrificio Angelo Poretti,Italy,2024,Birrificio Angelo Poretti_Italy_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Birrificio Angelo Poretti,Italy,2025,Birrificio Angelo Poretti_Italy_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Birrificio Angelo Poretti,Sweden,2024,Birrificio Angelo Poretti_Sweden_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Birrificio Angelo Poretti,Sweden,2025,Birrificio Angelo Poretti_Sweden_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Birrificio Angelo Poretti,United Kingdom,2024,Birrificio Angelo Poretti_United Kingdom_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Birrificio Angelo Poretti,United Kingdom,2025,Birrificio Angelo Poretti_United Kingdom_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Black Panther,Cambodia,2024,Black Panther_Cambodia_2024,FY23 C-BHT,Scaler,Carlsberg Insights Hub,in Beer study,,,
Black Panther,Cambodia,2025,Black Panther_Cambodia_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,in Market Study,,,
Bombay,Denmark,2024,Bombay_Denmark_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bombay,Denmark,2025,Bombay_Denmark_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bosman,Poland,2024,Bosman_Poland_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Bosman,Poland,2025,Bosman_Poland_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Breezer,Denmark,2024,Breezer_Denmark_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Breezer,Denmark,2025,Breezer_Denmark_2025,FY24 C-BHT,Scaler,Carlsberg Insights Hub,,,,
Breezer,Finland,2024,Breezer_Finland_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Breezer,Finland,2025,Breezer_Finland_2025,FY24 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Breezer,Norway,2024,Breezer_Norway_2024,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Breezer,Norway,2025,Breezer_Norway_2025,FY23 C-BHT,N/A,Carlsberg Insights Hub,not tracked in C-BHT,,,
Brooklyn Brewery,Denmark,2024,Brooklyn Brewery_Denmark_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Denmark,2025,Brooklyn Brewery_Denmark_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Finland,2024,Brooklyn Brewery_Finland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Finland,2025,Brooklyn Brewery_Finland_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,,,,
Brooklyn Brewery,France,2024,Brooklyn Brewery_France_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,France,2025,Brooklyn Brewery_France_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Italy,2024,Brooklyn Brewery_Italy_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Italy,2025,Brooklyn Brewery_Italy_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Norway,2024,Brooklyn Brewery_Norway_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Norway,2025,Brooklyn Brewery_Norway_2025,FY24 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
Brooklyn Brewery,Poland,2024,Brooklyn Brewery_Poland_2024,FY23 C-BHT,Pioneer,Carlsberg Insights Hub,in Beer study,,,
